Against,Team,IDGAME,Phase,Player,MIN,PTS,F2M,F2A,F2GP,F3M,F3A,F3GP,FTM,FTA,FTP,OR,DR,TR,AS,ST,TO,BLK,BLKR,PF,RF,PIR,HA,results,Team_PTS,Team_F2A,Team_F3A,Team_FTA,Team_F2M,Team_F3M,Team_FTM,Team_AS,Team_OR,Team_DR,Team_TR,Team_ST,Team_TO,Team_BLK,Team_PF,Team_PIR,Team_opp_PTS,Team_opp_F2A,Team_opp_F3A,Team_opp_FTA,Team_opp_F2M,Team_opp_F3M,Team_opp_FTM,Team_opp_AS,Team_opp_OR,Team_opp_DR,Team_opp_TR,Team_opp_ST,Team_opp_TO,Team_opp_BLK,Team_opp_PF,Team_opp_PIR,Points_per_shoot,Possesions,Offensive_rating,PIE,Assists_Ratio,As_To_ratio,EFG,FT_ratio,Game_score,True_shooting,Turnover_ratio,Usage,OR_percent,Season
PAR,DUB,1_4,Regular Season,Mckinley  Wright Iv,36.0,5,1,7,14.3,1,1,100.0,0,0,,1,2,3,7,1,0,0,1,3,1,7,H,W,89,45,20,12,23,11,10,21,9,19,28,5,8,0,19,97,76,43,18,21,19,7,17,16,14,17,31,4,11,2,16,82,0.62,6.7,74.6,0.05,104.5,inf,31.2,0.0,6.2,31.2,0.0,2.3,4.3,2025-2026
PAR,DUB,1_4,Regular Season,Filip  Petrusev,25.0,14,7,13,53.8,0,0,,0,0,,3,5,8,0,1,1,0,1,0,2,17,H,W,89,45,20,12,23,11,10,21,9,19,28,5,8,0,19,97,76,43,18,21,19,7,17,16,14,17,31,4,11,2,16,82,1.08,10.6,132.1,0.11,0.0,0.0,53.8,0.0,11.3,53.8,9.43,5.7,13.0,2025-2026
PAR,DUB,1_4,Regular Season,Kenan  Kamenjas,2.0,0,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,0,0,0,1,H,W,89,45,20,12,23,11,10,21,9,19,28,5,8,0,19,97,76,43,18,21,19,7,17,16,14,17,31,4,11,2,16,82,,1.0,0.0,0.01,0.0,0.0,,,-0.4,,100.0,5.1,0.0,2025-2026
DUB,PAR,1_4,Regular Season,Carlik  Jones,29.0,4,1,7,14.3,0,3,0.0,2,2,100.0,2,2,4,6,1,1,0,0,2,1,4,A,L,76,43,18,21,19,7,17,16,14,17,31,4,11,2,16,82,89,45,20,12,23,11,10,21,9,19,28,5,8,0,19,97,0.33,9.5,42.1,0.01,63.2,6.0,10.0,0.2,2.8,18.4,10.53,4.0,8.7,2025-2026
DUB,PAR,1_4,Regular Season,Shake  Milton,23.0,10,2,4,50.0,1,1,100.0,3,3,100.0,1,2,3,2,0,2,0,0,0,3,14,A,L,76,43,18,21,19,7,17,16,14,17,31,4,11,2,16,82,89,45,20,12,23,11,10,21,9,19,28,5,8,0,19,97,1.25,7.0,142.9,0.08,28.6,1.0,70.0,0.6,8.4,79.1,28.57,3.6,4.3,2025-2026
DUB,PAR,1_4,Regular Season,Duane  Washington,11.0,2,1,5,20.0,0,2,0.0,0,0,,0,1,1,1,0,0,0,0,0,0,-2,A,L,76,43,18,21,19,7,17,16,14,17,31,4,11,2,16,82,89,45,20,12,23,11,10,21,9,19,28,5,8,0,19,97,0.29,6.7,29.9,-0.01,14.9,inf,14.3,0.0,-1.5,14.3,0.0,6.3,0.0,2025-2026
DUB,PAR,1_4,Regular Season,Dylan  Osetkowski,14.0,12,2,4,50.0,1,2,50.0,5,6,83.3,2,0,2,0,1,0,0,0,2,6,15,A,L,76,43,18,21,19,7,17,16,14,17,31,4,11,2,16,82,89,45,20,12,23,11,10,21,9,19,28,5,8,0,19,97,1.0,6.4,187.5,0.06,0.0,,58.3,1.0,10.2,69.4,0.0,6.1,8.7,2025-2026
DUB,PAR,1_4,Regular Season,Vanja  Marinkovic,9.0,3,0,1,0.0,1,1,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,2,A,L,76,43,18,21,19,7,17,16,14,17,31,4,11,2,16,82,89,45,20,12,23,11,10,21,9,19,28,5,8,0,19,97,1.5,1.9,157.9,0.01,0.0,,75.0,0.0,2.0,75.0,0.0,2.2,0.0,2025-2026
DUB,PAR,1_4,Regular Season,Aleksej  Pokusevski,6.0,6,0,0,,2,2,100.0,0,0,,0,0,0,0,0,1,0,0,2,0,3,A,L,76,43,18,21,19,7,17,16,14,17,31,4,11,2,16,82,89,45,20,12,23,11,10,21,9,19,28,5,8,0,19,97,3.0,2.9,206.9,0.02,0.0,0.0,150.0,0.0,3.6,150.0,34.48,4.9,0.0,2025-2026
DUB,PAR,1_4,Regular Season,Sterling  Brown,23.0,6,2,4,50.0,0,1,0.0,2,2,100.0,0,3,3,2,0,2,0,0,3,1,4,A,L,76,43,18,21,19,7,17,16,14,17,31,4,11,2,16,82,89,45,20,12,23,11,10,21,9,19,28,5,8,0,19,97,0.86,7.6,78.9,0.02,26.3,1.0,40.0,0.4,2.4,51.0,26.32,3.4,0.0,2025-2026
